trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,polygon.started,target.started,mouse.started,target_2.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,3,26.0109929,26.0109929,0.0591559,26.0109929,[0.262037037037037],[0.17407407407407408],[1],[0],[0],[1.3691272999858484],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
1,0,1,0,3,27.377276,27.377276,0.0490172,27.377276,[-0.28888888888888886],[-0.2638888888888889],[1],[0],[0],[1.699710899963975],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
2,0,2,0,5,29.0941838,29.0941838,0.0397518,29.0941838,[0.2564814814814815],[0.1537037037037037],[1],[0],[0],[1.7329539000056684],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
3,0,3,0,5,30.8440064,30.8440064,0.0406965,30.8440064,[-0.37222222222222223],[0.20462962962962963],[1],[0],[0],[1.8966587000759318],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
4,0,4,0,3,32.7615583,32.7615583,0.0416612,32.7615583,[0.2564814814814815],[-0.32592592592592595],[1],[0],[0],[1.9638795999344438],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
5,0,5,0,3,34.7271621,34.7271621,0.0284891,34.7271621,[0.48148148148148145],[0.10555555555555556],[1],[0],[0],[2.3694953999947757],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
6,0,6,0,3,37.1283341,37.1283341,0.0432028,37.1283341,[-0.4722222222222222],[0.09351851851851851],[1],[0],[0],[1.7012799999210984],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
7,0,7,0,5,38.848521,38.848521,0.0527411,38.848521,[-0.3527777777777778],[0.012037037037037037],[1],[0],[0],[1.2857283999910578],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
8,0,8,0,5,40.1604104,40.1604104,0.0438242,40.1604104,[-0.15833333333333333],[0.36203703703703705],[1],[0],[0],[1.5967991000507027],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
9,0,9,0,5,41.7665924,41.7665924,0.0356058,41.7665924,[0.37592592592592594],[0.2796296296296296],[1],[0],[0],[3.952361000003293],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
10,0,10,0,5,45.7274455,45.7274455,0.0262927,45.7274455,[-0.1712962962962963],[0.13055555555555556],[1],[0],[0],[4.087724299984984],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
11,0,11,0,3,49.8269712,49.8269712,0.0256202,49.8269712,[0.4703703703703704],[0.47129629629629627],[1],[0],[0],[2.389973000041209],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
12,0,12,0,5,52.2602598,52.2602598,0.0591176,52.2602598,[0.05740740740740741],[-0.03333333333333333],[1],[0],[0],[1.2701673000119627],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
13,0,13,0,3,53.5606286,53.5606286,0.0509486,53.5606286,[0.3212962962962963],[0.1712962962962963],[1],[0],[0],[2.5040553000289947],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
14,0,14,0,5,56.0935312,56.0935312,0.0524929,56.0935312,[0.4925925925925926],[-0.16574074074074074],[1],[0],[0],[1.7682789000682533],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
15,0,15,0,5,57.8817607,57.8817607,0.0565735,57.8817607,[0.44166666666666665],[0.41574074074074074],[1],[0],[0],[1.3264251000946388],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
16,0,16,0,3,59.2268518,59.2268518,0.0252526,59.2268518,[0.44814814814814813],[0.39166666666666666],[1],[0],[0],[1.1233131000772119],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
17,0,17,0,3,60.402471,60.402471,0.0655095,60.402471,[0.08888888888888889],[0.3212962962962963],[1],[0],[0],[1.3813616000115871],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
18,0,18,0,5,61.7656758,61.7656758,0.0357586,61.7656758,[0.26851851851851855],[-0.018518518518518517],[1],[0],[0],[1.766814700094983],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
19,0,19,0,3,63.5435423,63.5435423,0.0233899,63.5435423,[0.4351851851851852],[-0.31851851851851853],[1],[0],[0],[2.9916417999193072],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
20,0,20,0,3,66.5435859,66.5435859,0.0230851,66.5435859,[0.31666666666666665],[0.23425925925925925],[1],[0],[0],[1.9045257000252604],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
21,0,21,0,3,68.5270866,68.5270866,0.0641777,68.5270866,[-0.06388888888888888],[0.08055555555555556],[1],[0],[0],[1.5357612000079826],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
22,0,22,0,3,70.0611379,70.0611379,0.0551798,70.0611379,[0.4462962962962963],[-0.4305555555555556],[1],[0],[0],[2.5699074000585824],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
23,0,23,0,3,72.6436777,72.6436777,0.0428908,72.6436777,[-0.32685185185185184],[-0.3398148148148148],[1],[0],[0],[4.897655599983409],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
24,0,24,0,3,77.5602956,77.5602956,0.0351493,77.5602956,[-0.4925925925925926],[0.1287037037037037],[1],[0],[0],[1.8257200999651104],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
25,0,25,0,5,79.4270543,79.4270543,0.0489345,79.4270543,[-0.32685185185185184],[0.21481481481481482],[1],[0],[0],[1.4553985999664292],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
26,0,26,0,3,80.9178939,80.9178939,0.0582397,80.9178939,[-0.4583333333333333],[-0.14814814814814814],[1],[0],[0],[1.8008677999023348],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
27,0,27,0,5,82.7307712,82.7307712,0.0268474,82.7307712,[0.002777777777777778],[-0.1111111111111111],[1],[0],[0],[4.687838700017892],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
28,0,28,0,5,87.4268738,87.4268738,0.0480657,87.4268738,[0.2638888888888889],[-0.13796296296296295],[1],[0],[0],[1.420291499933228],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
29,0,29,0,5,88.8602496,88.8602496,0.0344902,88.8602496,[0.11018518518518519],[-0.45740740740740743],[1],[0],[0],[3.318589099915698],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
30,0,30,0,3,92.2107607,92.2107607,0.0454494,92.2107607,[0.2759259259259259],[-0.13055555555555556],[1],[0],[0],[5.323149200063199],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
31,0,31,0,3,97.5935375,97.5935375,0.0656984,97.5935375,[0.09907407407407408],[0.34444444444444444],[1],[0],[0],[3.73746089998167],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
32,0,32,0,3,101.2945279,101.2945279,0.0234416,101.2945279,[0.05555555555555555],[0.33425925925925926],[1],[0],[0],[1.0080480000469834],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
33,0,33,0,5,102.3768362,102.3768362,0.0422077,102.3768362,[0.16203703703703703],[-0.09074074074074075],[1],[0],[0],[2.5135297999950126],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
34,0,34,0,5,104.8972197,104.8972197,0.0641316,104.8972197,[-0.16018518518518518],[0.39166666666666666],[1],[0],[0],[4.058851500041783],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
35,0,35,0,5,108.9933816,108.9933816,0.0727536,108.9933816,[-0.03888888888888889],[0.10555555555555556],[1],[0],[0],[3.054812300018966],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
36,0,36,0,3,112.0099382,112.0099382,0.0183964,112.0099382,[0.16944444444444445],[-0.4824074074074074],[1],[0],[0],[3.265772100072354],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
37,0,37,0,3,115.2988723,115.2988723,0.037776,115.2988723,[0.09259259259259259],[-0.4638888888888889],[1],[0],[0],[3.5538897999795154],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
38,0,38,0,3,118.9130121,118.9130121,0.0648555,118.9130121,[-0.006481481481481481],[0.2851851851851852],[1],[0],[0],[3.2726239999756217],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
39,0,39,0,5,122.176558,122.176558,0.028594,122.176558,[-0.03611111111111111],[0.0712962962962963],[1],[0],[0],[1.5086953999707475],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
40,0,40,0,5,123.6946268,123.6946268,0.0288974,123.6946268,[-0.021296296296296296],[-0.053703703703703705],[1],[0],[0],[8.614736299961805],[],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
41,0,41,0,3,132.3266935,132.3266935,0.0213575,132.3266935,[0.462037037037037],[-0.4601851851851852],[1],[0],[0],[9.273978300043382],['target'],try 1,1,2022-10-09_17h17.58.957,Group Project,2022.2.4,59.90649797
