,,,,,,,,,mouse.time,mouse.clicked_name
,,,2.548498,1.7716003,,,,,,
,,,4.8930303,1.3691273,,,,,,
,,,2.3870303,1.8966587,,,,,,
,,,2.2877236,2.3694954,,,,,,
,,,1.6752236,1.70128,,,,,,
,,,3.0398718,2.389973,,,,,,
,,,2.5227465,1.7682789,,,,,,
,,,1.9388696,1.1233131,,,,,,
,,,3.86641,1.9045257,,,,,,
,,,4.3268178,2.5699074,,,,,,
,,,6.8672692,1.8008678,,,,,,
,,,4.577608,1.4202915,,,,,,
,,,3.9848411,3.3185891,,,,,,
,,,2.8109251,4.0588515,,,,,,
,,,3.4646232,1.5086954,,,,,,
,,,5.118578,9.2739783,,,,,,
,,,,2.5381994,,,,,,
,,,3.912586473,1.680032,,,,,,
,,,,2.2600738,,,,,,
0.100447879,Mean RT,,,2.80978,,,,,,
,,,,4.9709336,,,,,,
,,,,2.051475,,,,,,
,,,,2.5378726,,,,,,
,,,,3.4747946,,,,,,
,,,,3.3969016,,,,,,
,,,,2.1570489,,,,,,
,,,,5.7717825,,,,,,
,,,,3.0009811,,,,,,
,,,,2.3828161,,,,,,
,,,,1.4383712,,,,,,
,,,,7.3425672,,,,,,
,,,,3.6338245,,,,,,
,,,,3.1582421,,,,,,
,,,,1.959692,,,,,,
,,,,3.3895773,,,,,,
,,,,4.9971161,,,,,,
,,,,11.2116782,,,,,,
,,,,2.1043096,,,,,,
,,,,4.808338,,,,,,
,,,,2.2365583,,,,,,
,,,,2.8797621,,,,,,
,,,,1.6123168,,,,,,
,,,,9.0763549,,,,,,
,,,,3.0058263,,,,,,
,,,,6.6442693,,,,,,
,,,,2.8311476,,,,,,
,,,,3.4192986,,,,,,
,,,,7.9801231,,,,,,
,,,,20.103015,,,,,,
,,,,2.5242996,,,,,,
,,,,5.1996191,,,,,,
,,,,7.5930734,,,,,,
,,,,9.964552,,,,,,
,,,,4.7685325,,,,,,
,,,,,,,,,,
,,,,3.812138594,,,,,,
