trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,polygon.started,target.started,mouse.started,target_2.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
27,0,27,0,3,134.0891972,134.0891972,0.051398,134.0891972,-0.4921875,0.3125,1,0,0,4.808338,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
28,0,28,0,5,138.9547456,138.9547456,0.0603871,138.9547456,-0.46875,0.0625,1,0,0,2.2365583,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
29,0,29,0,5,141.1947197,141.1947197,0.0595508,141.1947197,0.015625,0.4140625,1,0,0,2.8797621,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
30,0,30,0,5,144.0850023,144.0850023,0.0484321,144.0850023,0.458333333,-0.329427083,1,0,0,4.3268178,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
31,0,31,0,3,148.4231003,148.4231003,0.0360104,148.4231003,-0.31640625,0.173177083,1,0,0,6.8672692,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
32,0,32,0,5,155.3243238,155.3243238,0.0525375,155.3243238,-0.161458333,0.1953125,1,0,0,1.6123168,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
33,0,33,0,5,156.9806882,156.9806882,0.0605278,156.9806882,0.430989583,0.428385417,1,0,0,9.0763549,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
34,0,34,0,5,166.0848988,166.0848988,0.0660356,166.0848988,0.377604167,-0.322916667,1,0,0,4.577608,,83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
35,0,35,0,3,170.7099634,170.7099634,0.0602349,170.7099634,-0.151041667,-0.091145833,1,0,0,3.0058263,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
36,0,36,0,5,173.7605317,173.7605317,0.0714791,173.7605317,0.009114583,0.098958333,1,0,0,6.6442693,target',83328,1,2022-10-09_22h43.06.838,Group Project,2022.2.4,60.09788746
